ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2636104,Thermal Solutions Products LLC,THERMAL SOLUTIONS,AMPW,AMPW1500,,,Gas Tankless,"Gas,Propane",,13,,,,8,6,,1500,0.98,,,,,06/01/2021,08/16/2023,"United States, Canada",ES_1141425_AMPW1500_08152023091434_1722830
2648721,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW4000,,,Gas Tankless,"Gas,Propane",,47,,,,12,,,3999,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW4000_08212023152046_4786570
2648722,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW3500,,,Gas Tankless,"Gas,Propane",,47,,,,12,,,3500,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW3500_08212023152045_7741922
2648723,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW3000,,,Gas Tankless,"Gas,Propane",,36,,,,10,,,3000,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW3000_08212023152045_1621956
2648724,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW2500,,,Gas Tankless,"Gas,Propane",,36,,,,10,,,2500,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW2500_08212023152044_2267796
2648725,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW2000,,,Gas Tankless,"Gas,Propane",,17,,,,8,,,1999,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW2000_08212023152043_7332280
2648726,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW1500,,,Gas Tankless,"Gas,Propane",,13,,,,8,6,,1500,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW1500_08212023152043_2884260
2648727,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW1250,,,Gas Tankless,"Gas,Propane",,12,,,,8,6,,1250,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW1250_08212023152042_7659222
2648728,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW1000,,,Gas Tankless,"Gas,Propane",,12,,,,8,6,,999,0.98,,,,,10/01/2019,04/17/2024,"United States, Canada",ES_1141425_BFITW1000_08212023152041_1265823
2648729,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW1000L,,,Gas Tankless,"Gas,Propane",,9,,,,6,,,999,0.98,,,,,10/01/2021,04/17/2024,"United States, Canada",ES_1141425_BFITW1000L_08212023152040_1373020
2648730,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW800,,,Gas Tankless,"Gas,Propane",,7,,,,6,,,800,0.98,,,,,10/01/2021,04/17/2024,"United States, Canada",ES_1141425_BFITW800_08212023152039_6234059
2648731,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW650,,,Gas Tankless,"Gas,Propane",,6,,,,6,,,650,0.98,,,,,10/01/2021,04/17/2024,"United States, Canada",ES_1141425_BFITW650_08212023152038_9910328
2648732,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW500,,,Gas Tankless,"Gas,Propane",,5,,,,4,,,500,0.98,,,,,10/01/2021,04/17/2024,"United States, Canada",ES_1141425_BFITW500_08212023152037_1241644
2648733,Thermal Solutions Products LLC,"Bryan Steam, LLC",BFIT,BFITW400,,,Gas Tankless,"Gas,Propane",,4,,,,4,,,399,0.98,,,,,10/01/2021,04/17/2024,"United States, Canada",ES_1141425_BFITW400_08212023152035_661099
2648734,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW1500,,,Gas Tankless,"Gas,Propane",,13,,,,8,6,,1500,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW1500_08182023151937_9257193
2648735,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW1250,,,Gas Tankless,"Gas,Propane",,12,,,,8,6,,1250,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW1250_08182023151936_998312
2648736,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW1000L,,,Gas Tankless,"Gas,Propane",,9,,,,6,,,999,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW1000L_08182023151936_5208285
2648737,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW800,,,Gas Tankless,"Gas,Propane",,7,,,,6,,,800,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW800_08182023151935_869045
2648738,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW650,,,Gas Tankless,"Gas,Propane",,6,,,,6,,,650,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW650_08182023151935_6111895
2648739,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW500,,,Gas Tankless,"Gas,Propane",,5,,,,4,,,500,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW500_08182023151935_8361807
2648740,Thermal Solutions Products LLC,Burnham by U.S. Boiler,Citadel,CTDW400,,,Gas Tankless,"Gas,Propane",,4,,,,4,,,399,0.98,,,,,04/24/2023,04/17/2024,"United States, Canada",ES_1141425_CTDW400_08182023151934_419111
3388142,NY Thermal Inc.,NTI,Trinity,LX400WH,,,Gas Tankless,"Gas,Propane",Direct Vent,2,,,,4,,,399,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX400WH_09042020130727_5036676
3388143,NY Thermal Inc.,NTI,Trinity,LX500WH,,,Gas Tankless,"Gas,Propane",Direct Vent,3,,,,4,,,500,0.96,,,,,11/06/2014,02/02/2024,"United States, Canada",ES_1016238_LX500WH_09042020130727_3861655
