ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,UPC,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
3530978,Ikea,LAGAN N 30587626,,Top Freezer,,Automatic,No,No,No,No,No,66.5,29.5,18,21.1,362,404,10,No,05/18/2024,05/10/2024,"United States, Canada",ES_1092750_LAGAN N 30587626_05212024104044_80193836,Yes
3530977,Ikea,OLOFSFORS 10587608,,Top Freezer,,Automatic,No,No,No,No,No,66.5,29.5,18,21.1,362,404,10,No,05/18/2024,05/10/2024,"United States, Canada",ES_1092750_OLOFSFORS 10587608_05212024104044_80193836,Yes
2375170,Hisense,HRT180N6A*,",,The symbols * can be replaced with A, B, C to Z, it means the color of enclosure.",Top Freezer,,Automatic,No,No,No,No,No,66.5,29.7,18,21.1,363,404,10,No,03/10/2021,03/16/2021,"United States, Canada",ES_1110877_HRT180N6A*_031020210150399_6984653,Yes
2388715,Hisense,HRT180N6A*E,",,The symbols * can be replaced with A, B, C to Z, it means the color of enclosure.",Top Freezer,810088360343;810088360350;810088360367,Automatic,No,No,No,No,No,66.5,29.7,18,21.1,363,404,10,No,11/29/2021,12/02/2021,"United States, Canada",ES_1110877_HRT180N6A*E_120120212001833_9598567,Yes
2545965,Hisense,RT12A2CSE,,Top Freezer,810088364044,Automatic,No,No,No,No,No,66.8,23.4,11.6,13.5,308,343,10,No,05/20/2023,05/06/2023,"United States, Canada",ES_1110877_RT12A2CSE_07062023113546_80166879,Yes
2636157,Kenmore,899.7231#32#,",,1st # refer to color, 2nd # is a revision number",Top Freezer,,Automatic,No,No,No,Yes,No,66.4,29.5,18.1,21.3,448,490,10,No,08/17/2023,08/21/2023,"United States, Canada",ES_15649_899.7231#32#_08212023022088_1672100,Yes
2352163,Insignia,NS-RTM18BKR8*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,12/27/2019,12/30/2019,"United States, Canada",ES_1059185_NS-RTM18BKR8*_12302019065620_8980383,Yes
2400961,Insignia,NS-RTM18SS2,,Top Freezer,600603257865,Automatic,No,No,No,No,No,65,30,18.1,22,369,411,10,No,01/31/2022,08/31/2022,"United States, Canada",ES_1059185_NS-RTM18SS2_08312022060012_6551678,Yes
2400963,Insignia,NS-RTM18SS2L,,Top Freezer,600603270970,Automatic,No,No,No,No,No,65,30,18.1,22,369,411,10,No,01/31/2022,08/31/2022,"United States, Canada",ES_1059185_NS-RTM18SS2L_083120220600555_6795172,Yes
2255617,Insignia,NS-RTM18SS7,",NS-RTM18BKR8,; ,NS-RTM18BS8,; ,NS-RTM18SS7-C,; ,NS-RTM18WH7,",Top Freezer,,Automatic,No,No,No,No,No,66.6,29.5,18,21,362,403,10,No,12/25/2015,12/29/2015,"United States, Canada",ES_1059185_NS-RTM18SS7_12292015052921_6961918,Yes
2352164,Insignia,NS-RTM18SS7*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,12/27/2019,12/30/2019,"United States, Canada",ES_1059185_NS-RTM18SS7*_12302019065524_8924323,Yes
2400967,Insignia,NS-RTM18WH2,,Top Freezer,600603257872,Automatic,No,No,No,No,No,65,30,18.1,22,369,411,10,No,01/31/2022,08/31/2022,"United States, Canada",ES_1059185_NS-RTM18WH2_083120220601989_9967805,Yes
2352165,Insignia,NS-RTM18WH7*,,Top Freezer,,Automatic,No,No,No,No,No,64.9,29.5,18.1,21.1,362,404,10,No,12/27/2019,12/30/2019,"United States, Canada",ES_1059185_NS-RTM18WH7*_12302019065503_8903317,Yes
2329499,Insignia,NS-RTM18WH7-C,,Top Freezer,,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,11/06/2018,11/12/2018,Canada,ES_1059185_NS-RTM18WH7-C_11122018075638_9398119,Yes
2406382,Insignia,NS-RTM20**#***,",,* can be A-Z, a-z, - or blank, # can be 0-9, all models are identical except the model name",Top Freezer,,Automatic,No,No,No,No,No,67,30,20.5,25,390,435,10,No,12/29/2022,12/29/2022,"United States, Canada",ES_1059185_NS-RTM20**#***_122920220149783_1021917,Yes
2406383,Insignia,NS-RTM20SS3,,Top Freezer,,Automatic,No,No,No,No,No,67,30,20.5,25,390,435,10,No,12/29/2022,12/29/2022,"United States, Canada",ES_1059185_NS-RTM20SS3_122920220150299_5354913,Yes
2341697,Kenmore,111.60#1####,",,1st ""#"" : 0-9, 2nd ""#"": 0-9, 3rd ""#"" : 0-9, 4th ""#"": 0-9, 5th ""#"" : 0-9; 60#1#,60#1#,First ""#"" Functional option : 0-9, Second ""#"" Door color : 0-9",Top Freezer,,Automatic,No,No,No,No,No,66,30,18.2,22.1,365,412,11,No,08/01/2019,07/29/2019,"United States, Canada",ES_15649_111.60*1****_07292019055047_9447502,Yes
2388048,Kenmore,111.6071####,",,# can be 0~9; 6071#,6071#,""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,No,No,66.3,29.9,18.2,22.1,370,412,10,No,10/20/2021,11/05/2021,"United States, Canada",ES_15649_111.6071####_110520210056226_4208092,Yes
2393853,Kenmore,111.6076####,",,1st ""#"" door color : 0-9 ,2nd ""#"" the year of introduction : 0-9 ,3rd ""#"" decade of introduction : 0-9 ,4th ""#"" engineering digit change : 0-9; 6076#,6076#,First ""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,No,No,66.3,29.9,18.3,22.2,370,413,10,No,02/25/2022,03/17/2022,United States,ES_15649_111.6076####_031720222333443_3904955,Yes
2366270,Kenmore,111.612#####,",,1st ""#"" : 0-9, 2nd""#"": 0-9, 3rd ""#"" : 0-9, 4th""#"": 0-9, 5th ""#"": 0-9; 612##,612##,First ""#""- Product grade : 0-9 , Second ""#"" Door color : 0-9",Top Freezer,,Automatic,No,No,No,No,No,66.7,32.9,20.8,25.2,393,437,10,No,09/28/2020,09/25/2020,"United States, Canada",ES_15649_111.612*****_09252020140046_2446723,Yes
2388050,Kenmore,111.6121####,",,#: 0~9; 6121#,6121#,-	First ""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,No,No,66.7,32.9,20.8,25.1,393,436,10,No,10/20/2021,11/05/2021,"United States, Canada",ES_15649_111.6121####_110520210229336_9559842,Yes
2272955,Kenmore,111.6121*61*,,Top Freezer,,Automatic,No,No,No,No,Yes,66,32.9,20.8,25.3,393,438,10,No,07/31/2016,07/21/2016,"United States, Canada",ES_15649_111.6121*61*_07222016050333_3813618,Yes
2341698,Kenmore,111.70#1####,",,1st ""#"" : 0-9, 2nd ""#"": 0-9, 3rd ""#"" : 0-9, 4th ""#"": 0-9, 5th ""#"" : 0-9; 70#1#,70#1#,First ""#"" Functional option : 0-9, Second ""#"" Door color : 0-9",Top Freezer,,Automatic,No,No,No,Yes,No,66,30,18.2,22.1,450,496,11,No,08/01/2019,07/29/2019,"United States, Canada",ES_15649_111.70*1****_07292019055209_9529242,Yes
2388049,Kenmore,111.7071####,",,# can be 0~9; 7071#,7071#,First ""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,Yes,No,66.3,29.9,18.2,22.1,454,496,10,No,10/20/2021,11/05/2021,"United States, Canada",ES_15649_111.7071####_110520210152224_4658959,Yes
2393802,Kenmore,111.7076####,",,First ""#"" door color : 0-9, Second ""#"" year of introduction : 0-9, Third ""#"" decade of introduction : 0-9, Fourth ""#"" engineering digit change : 0-9; 7076#,7076#,First ""#"" means that door color : 0-9",Top Freezer,,Automatic,No,No,No,Yes,No,66.3,29.9,18.3,22.2,450,497,11,No,02/25/2022,03/11/2022,United States,ES_1108205_111.7076####_031620220104223_6945766,Yes
2366273,Kenmore,111.712#####,",,1st ""#"" : 0-9, 2nd ""#"": 0-9, 3rd ""#"" : 0-9, 4th ""#"": 0-9, 5th ""#"" : 0-9; 712##,712##,First ""#"" Product grade : 0-9 ,Second ""#"" Door color : 0-9",Top Freezer,,Automatic,No,No,No,Yes,No,66.7,32.9,20.8,25.2,472,521,11,No,09/29/2020,12/06/2021,"United States, Canada",ES_15649_111.712*****_09252020150540_6340424,Yes
