ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2233182,"VTech Telecommunications, Ltd.",AT&T,CL82215,CL82215,",CL82115,1HS+1BS(W/ ITAD); ,CL82215,2HS+1BS(W/ ITAD)+1charger; ,CL82315,3HS+1BS(W/ ITAD)+2chargers; ,CL82415,4HS+1BS(W/ ITAD)+3chargers; ,CL82465,4HS+1BS(W/ ITAD)+3chargers; ,CL82515,5HS+1BS(W/ ITAD)+4chargers; ,CL82XY5,XHS+1BS(W/ ITAD)+(X-1)chargers",,Analog,Cordless,1,None,0.6,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/09/2015,02/12/2015,"United States, Canada",ES_1067513_CL82215_02062015173307_46655
2338703,"VTech Telecommunications, Ltd.",AT&T,CL82219,CL82219,",CL82##9,#HS+1BS (W/ ITAD) + (#-1) chargers; ,CL82#*9,#HS+1BS (W/ ITAD) + (#-1) chargers; ,CL82219,2HS+1BS (W/ ITAD) + 1 charger; ,CL82229,2HS+1BS (W/ ITAD) + 1 charger; ,CL82319,3HS+1BS (W/ ITAD) +2 chargers; ,CL82419,4HS+1BS (W/ ITAD) +3 chargers",650530031847;650530031854;650530031861;650530031908;650530033582,Analog,Cordless,1,None,0.5,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/28/2019,05/22/2019,"United States, Canada",ES_1067513_CL82219_05202019153205_7925836
2234364,"VTech Telecommunications, Ltd.",AT&T,CL83113,CL83113,",CL83103,1HS+1BS(W/ ITAD); ,CL83113,1HS+1BS(W/ ITAD); ,CL83143,1HS+1BS(W/ ITAD); ,CL83203,2HS+1BS(W/ ITAD)+1charger; ,CL83213,2HS+1BS(W/ ITAD)+1charger; ,CL83303,3HS+1BS(W/ ITAD)+2chargers; ,CL83313,3HS+1BS(W/ ITAD)+2chargers; ,CL83403,4HS+1BS(W/ ITAD)+3chargers; ,CL83463,4HS+1BS(W/ ITAD)+3chargers; ,CL83XY3,XHS+1BS(W/ ITAD)+(X-1) chargers",,Analog,Cordless,1,None,1,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/24/2015,02/24/2015,"United States, Canada",ES_1067513_CL83113_02252015122502_2019311
2292087,"VTech Telecommunications, Ltd.",AT&T,CL83207,CL83207,",CL83##7,; ,CL83107,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL83207,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL83307,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL83407,# handsets + 1 base (W/ ITAD) + (#-1) chargers",,Analog,Cordless,1,None,0.5,0,Not Supported,Other,None,0,0,0,0,,N/A,Optional,12/28/2016,03/07/2017,"United States, Canada",ES_1067513_CL83207_02232017151630_6676599
2355503,"VTech Telecommunications, Ltd.",AT&T,CL83210,CL83210,",CL83##0,1st #HS+1BS(W/ ITAD)+(1st #-1)chargers; ,CL83#*0,1st #HS+1BS(W/ ITAD)+(1st #-1)chargers; ,CL83210,2HS+1BS(W/ ITAD)+ 1 charger; ,CL83440,4HS+1BS(W/ ITAD)+ 3 chargers",,Analog,Cordless,1,None,0.581,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/31/2020,03/02/2020,"United States, Canada",ES_1067513_CL83210_01312020170909_216791
2232638,"VTech Telecommunications, Ltd.",AT&T,CL83215,CL83215,",CL83215,2HS+1BS(W/ ITAD)+1charger; ,CL83315,3HS+1BS(W/ ITAD)+2chargers; ,CL83415,4HS+1BS(W/ ITAD)+3chargers; ,CL83465,4HS+1BS(W/ ITAD)+3chargers; ,CL83565,5HS+1BS(W/ ITAD)+4chargers; ,CL83XY5,HS+1BS(W/ ITAD)+(X-1)chargers",,Analog,Cordless,1,None,1.15,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/22/2015,01/30/2015,"United States, Canada",ES_1067513_CL83215_01232015100913_5007440
2338625,"VTech Telecommunications, Ltd.",AT&T,CL83519,CL83519,",CL83##9,#HS+1BS(W/ ITAD)+(#-1)chargers; ,CL83#*9,#HS+1BS(W/ ITAD)+(#-1)chargers; ,CL83519,5HS+1BS(W/ ITAD)+4 chargers",,Analog,Cordless,1,None,0.5,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/28/2019,05/20/2019,"United States, Canada",ES_1067513_CL83519_03062019172501_2186242
2299852,"VTech Telecommunications, Ltd.",AT&T,CL84107,CL84107,",CL84#*7,# cordless HS +1 corded HS +1 BS(W/ ITAD) +# chargers; ,CL84107,1 cordless HS +1 corded HS +1 BS(W/ ITAD) +1 charger; ,CL84207,2 cordless HS +1 corded HS +1 BS(W/ ITAD) +2 chargers; ,CL84257,2 cordless HS +1 corded HS +1 BS(W/ ITAD) +2 chargers; ,CL84307,3 cordless HS +1 corded HS +1 BS(W/ ITAD) +3 chargers; ,CL84357,3 cordless HS +1 corded HS +1 BS(W/ ITAD) +3 chargers",,Analog,Corded,1,Other,0.5,0,N/A,Other,None,0,0,0,0,,N/A,Yes,04/25/2017,07/13/2017,"United States, Canada",ES_1067513_CL84107_04272017114956_8688318
2233982,"VTech Telecommunications, Ltd.",AT&T,"CL84115,CL84215,CL84265,CL84365,CL84XY5","CL84115,CL84215,CL84265,CL84365,CL84XY5",",CL84115,CL84215,CL84265,CL84365,CL84XY5,1HS+1BS(W/ ITAD)+1charger",,Analog,Corded,1,None,0.6,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/06/2015,02/24/2015,"United States, Canada","ES_1067513_CL84115,CL84215,CL84265,CL84365,CL84XY5_02062015172849_598565"
2516613,"VTech Telecommunications, Ltd.",AT&T,DECT 6.0 cordless telephone,"CL84207,CL84107, CL84257, CL84307, CL84357,CL84#*7, CL84#*7, CL80107, CL80117, CL801#7",,,Analog,Corded,,None,0.61,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/14/2023,06/21/2023,"United States, Canada","ES_1067513_CL84207,CL84107, CL84257, CL84307, CL84357,CL84#*7, CL84#*7, CL80107, CL80117, CL801#7_06212023175634_1010101"
