ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Max Nameplate Output Current (A),Input Voltage (V),Maximum Output Power (kW),Number of Outputs,Maximum Output Cord Length (ft.),Output Cord Gauge (AWG),"Screen Area, if EVSE has high res display (in2)",Maximum (100%) Measured Luminance of the High Res Display (candelas per m2),Automatic Brightness Control (ABC) Capable?,Connected Capable,DR Protocol,Connects Using,Protocols Used to Support Smart Charging,Network Security Standards,Is Broadband Internet Connection Needed for Demand Response?,Auxiliary Product Features,Product Features,Network Capability,Network Connection Types Available,No Vehicle Mode Input Power (watts),No Vehicle Mode Total Allowance (watts),No Vehicle Mode Power Factor,Partial On Mode Input Power (watts),Partial On Mode Total Allowance (watts),Partial On Mode Power Factor,Idle Mode Input Power (watts),Idle Mode Total Allowance (watts),Idle Mode Power Factor,Full Current Operation Mode Test: Total Loss (watts),30 A Operation Mode Test: Total Loss (watts),15 A Operation Mode Test: Total Loss (watts),4 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: No Vehicle Mode Input Power (watts),Dual Input No Vehicle Mode Total Allowance (watts),Dual Input Level 2: No Vehicle Mode Power Factor,Dual Input Level 2: Partial On Mode Input Power (watts),Dual Input Partial On Mode Total Allowance (watts),Dual Input Level 2:  Partial On Mode Power Factor,Dual Input Level 2:  Idle Mode Input Power (watts),Dual Input Idle Mode Total Allowance (watts),Dual Input Level 2:  Idle Mode Power Factor,Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts),Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts),Date Available on Market,Date Certified,Markets,CB Model Identifier
3442101,ADM Tech LLC,"Tera,",ZB04-U011K**-*###,ZB04-U011K**-*###,,,Level 2,48,240,11.52,1,25,8,7.93,105.2,No,,,,,,,"High Resolution Display,Radio Frequency Identification (RFID)",,Yes,Wi-Fi or Gigabit Ethernet,4.54,7.34,0.36,4.59,7.34,0.36,9.24,26.54,0.41,26.6,23.4,19.8,19,,,,,,,,,,,,,,04/22/2024,04/22/2024,"United States, Canada",ES_1150467_ZB04-U011K**-*###_04152024161414_739099
3442102,ADM Tech LLC,"Tera,",ZA05-U007K**-*###,ZA05-U007K**-*###,,,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,1.64,5,0.26,1.72,5,0.26,4.84,17.8,0.37,19.5,19.1,17.3,16.5,,,,,,,,,,,,,,04/22/2024,04/22/2024,"United States, Canada",ES_1150467_ZA05-U007K**-*###_04152024161121_507776
2404535,AISPEX INC,AISPEX,Gold-48-BE-RF/4G,Gold-48-BE-RF/4G,",Gold-48-BK-RF/4G,; ,Gold-48-RD-RF/4G,; ,Gold-48-SR-RF/4G,; ,Gold-48-XX-RF/4G,",,Level 2,48,240,11.52,1,18,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,2.51,3.6,0.17,2.76,3.6,0.18,3.2,22.8,0.19,80,18,12,2,,,,,,,,,,,,,,11/14/2022,11/14/2022,"United States, Canada",ES_1148201_Gold-48-BE-RF/4G_11112022101859_5765039
2378155,AMPURE,Webasto Charging Systems Inc,EVSE-CSSS56600012-1003,EVSE-CSSS56600012-1003,,,Level 2,32,240,7.68,1,23,10,,,No,,,,,,,,,No,None,2.48,2.6,0.36,2.49,2.6,0.36,3.73,15.4,0.43,76.37,68.32,19.62,4.82,,,,,,,,,,,,,,04/23/2021,04/23/2021,"United States, Canada",EVSE-CSSS56600012-1003
2406750,AMPURE,FoMoCo,LJ98-10C823-A followed by one character,LJ98-10C823-A followed by one character,,,Level 2,48,240,11.52,1,20,6,,,No,Yes,Open Charge Point Protocol (OCPP),Wi-Fi,"OCPP (v1.6) - Communication towards Backend via WiFi 
SAE J1772 – Communication towards Vehicle (via CP signal)","ISO 21434; 
Ford Security Specification (non-public), including:
  - Bluetooth Security Spec
  - Connected Wallbox Security Requirements
   - Embedded System Applications Specification
  - Operating System Requirements
  - Vehicle to Cloud Security Specification
[You can use this information for the report if required]
A threat analysis and risk assessment (TARA) according to ISO 21434 has been performed. After the risk treatment decision, measures have been assigned, following recommendations of BSI and/or NIST.
“BSI” = „Bundesamt für Sicherheit in der Informationstechnik“; German federal office for security in Information Technology",No,,None,Yes,Wi-Fi or Gigabit Ethernet,3.2,3.6,0.37,3.36,3.6,0.37,4.09,22.8,0.41,0.48,2.56,3.5,3.71,,,,,,,,,,,,,,01/12/2023,01/12/2023,"United States, Canada",ES_1018435_LJ98-10C823-AC_01102023105312_4906732
2697693,AMPURE,Webasto Charging Systems Inc,CSG1SAE-032016,CSG1SAE-032016,",CSG1SAE-032017,",,Level 2,32,240,7.68,0,20,10,,,No,No,,,,,,,,No,None,2.31,4,0.32,2.43,4,0.33,3.83,16.8,0.4,89.2,74.44,21.22,5.09,,,,,,,,,,,,,,10/31/2023,10/31/2023,"United States, Canada",ES_1018435_CSG1SAE-032016 _102420231735233_4741112
2927650,AMPURE,Webasto,TurboConnect,5112300A,,,Level 2,48,240,11.52,1,20,6,,,No,Yes,Open Charge Point Protocol (OCPP),Wi-Fi,OCPP (v1.6) - Communication towards Backend via WiFi SAE J1772 – Communication towards Vehicle (via CP signal),"Webasto Security Specification (non-public), including: Connected Wallbox Security Requirements - Embedded System Applications Specification - Operating System Requirements - Vehicle to Cloud Security Specification[You can use this information for the report if required]A threat analysis and risk assessment (TARA) according to ISO 21434 has been performed. After the risk treatment decision, measures have been assigned,",No,,None,Yes,Wi-Fi or Gigabit Ethernet,3.07,5,0.41,3.97,5,0.44,5.17,24.2,0.47,4.88,4.98,5.05,5.11,,,,,,,,,,,,,,12/19/2023,12/19/2023,"United States, Canada",ES_1018435_TurboConnect_12142023150612_5246240
2411075,ATG Electronics,ATG e-Power,ATG-R01-32A,ATG-R01-32A,",ATG-C01-32A,; ,ATG-C01-40A,; ,ATG-C01-48A,; ,ATG-C01P-32A,; ,ATG-C01P-40A,; ,ATG-C01P-48A,; ,ATG-R01-40A,; ,ATG-R01-48A,; ,ATG-R01P-32A,; ,ATG-R01P-40A,; ,ATG-R01P-48A,",,Level 2,48,240,11.52,1,18,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.56,3.6,0.07,3.5,3.6,0.76,13.65,22.8,0.38,157.7,24.2,20.1,4,,,,,,,,,,,,,,02/22/2023,02/22/2023,"United States, Canada",ES_1117425_ATG-R01-32A_01162023101914_8833429
2393054,Atom Power Inc,PURPL,PURPL Advanced EV Charging,AP3P400-EVSE-3R (AEVBOX2-80-25),",AP3P400-EVSE-1, AEVPED1-80-18, AEVPED1-80-25, AEVPED2-80-18, AEVPED2-80-25, AEVPED1-48-18, AEVPED1-48-25, AEVPED2-48-18, AEVPED2-48-25, AEVBOX1-80-18, AEVBOX1-80-25, AEVBOX2-80-18, AEVBOX1-48-18, AEVBOX1-48-25, AEVBOX2-48-18, AEVBOX2-48-25,",1000001,Level 2,80,240,19.2,2,25,8,,,No,,,,SAE J1772,,No,,,Yes,Wi-Fi or Gigabit Ethernet,1.59,3.1,0.17,1.66,3.1,0.18,1.71,35.1,0.1,444.24,76.27,25.22,10.07,,,,,,,,,,,,,,02/16/2022,02/16/2022,United States,ES_1146249_780_02162022102530_1010101
2397552,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W10-N14-H,Maxi US AC W10-N14-H,",Maxi US AC W10-N6-H,",,Level 2,40,240,9.6,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.33,3.6,0.45,3.41,3.6,0.45,3.56,19.6,0.45,127,64,25,11,,,,,,,,,,,,,,06/17/2022,06/17/2022,"United States, Canada",ES_1147564_Maxi US AC W10-N14-H_06132022141423_7556268
2454372,CTEK Sweden AB,CTEK SWEDEN AB,3005,3005,,,Level 2,80,240,19.2,1,23,16,,,No,No,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,2.91,3.6,0.26,3.21,3.6,0.28,9.27,35.6,0.75,-194.57,-15.82,0.05,1.54,,,,,,,,,,,,,,08/11/2022,08/11/2022,"United States, Canada",ES_1147492_3005_040520231626430_4030412
